"1538478769.600293","192.168.100.103",37082,"192.168.100.1",53
"1538478779.610847","192.168.100.103",34486,"192.168.100.1",53
"1538478789.630642","192.168.100.103",37601,"192.168.100.1",53
"1538478779.620088","192.168.100.103",46439,"192.168.100.1",53
"1538478799.645444","192.168.100.103",55174,"192.168.100.1",53
"1538478789.634890","192.168.100.103",40788,"192.168.100.1",53
"1538478809.656495","192.168.100.103",56655,"192.168.100.1",53
"1538478799.649691","192.168.100.103",52983,"192.168.100.1",53
"1538478834.597306","192.168.100.103",37651,"192.168.100.1",53
"1538478844.603856","192.168.100.103",59986,"192.168.100.1",53
"1538478854.645141","192.168.100.103",57311,"192.168.100.1",53
"1538478844.634336","192.168.100.103",47530,"192.168.100.1",53
"1538478864.657195","192.168.100.103",40594,"192.168.100.1",53
"1538478854.649637","192.168.100.103",60797,"192.168.100.1",53
"1538478874.675246","192.168.100.103",58326,"192.168.100.1",53
"1538478864.664690","192.168.100.103",36131,"192.168.100.1",53
"1538478899.594558","192.168.100.103",35291,"192.168.100.1",53
"1538478904.595461","192.168.100.103",51079,"192.168.100.1",53
"1538478904.598958","192.168.100.103",40645,"192.168.100.1",53
"1538478919.612414","192.168.100.103",60880,"192.168.100.1",53
"1538478909.601861","192.168.100.103",34031,"192.168.100.1",53
"1538478919.615161","192.168.100.103",34984,"192.168.100.1",53
"1538478929.628963","192.168.100.103",47994,"192.168.100.1",53
"1538478919.618413","192.168.100.103",32777,"192.168.100.1",53
"1538478929.630711","192.168.100.103",43196,"192.168.100.1",53
"1538478939.649510","192.168.100.103",51104,"192.168.100.1",53
"1538478929.633710","192.168.100.103",59325,"192.168.100.1",53
"1538478939.651008","192.168.100.103",50434,"192.168.100.1",53
"1538478909.602615","192.168.100.103",123,"81.2.254.224",123
"1538478978.598340","192.168.100.103",50394,"192.168.100.1",53
"1538478968.591536","192.168.100.103",35075,"192.168.100.1",53
"1538478978.600087","192.168.100.103",43659,"192.168.100.1",53
"1538478988.613639","192.168.100.103",50035,"192.168.100.1",53
"1538478978.602836","192.168.100.103",37268,"192.168.100.1",53
"1538478988.616137","192.168.100.103",33353,"192.168.100.1",53
"1538478998.630937","192.168.100.103",57845,"192.168.100.1",53
"1538478988.620135","192.168.100.103",44091,"192.168.100.1",53
"1538478999.036955","192.168.100.103",58473,"192.168.100.1",53
"1538478963.590634","192.168.100.103",123,"89.221.210.188",123
"1538479043.599341","192.168.100.103",42562,"192.168.100.1",53
"1538479033.588541","192.168.100.103",32911,"192.168.100.1",53
"1538479043.601089","192.168.100.103",34889,"192.168.100.1",53
"1538479043.604587","192.168.100.103",49435,"192.168.100.1",53
"1538479043.733013","192.168.100.103",55520,"192.168.100.1",53
"1538479053.752567","192.168.100.103",39218,"192.168.100.1",53
"1538479043.742006","192.168.100.103",39516,"192.168.100.1",53
"1538479053.756057","192.168.100.103",50085,"192.168.100.1",53
"1538479031.587678","192.168.100.103",123,"5.1.56.123",123
"1538479082.311303","192.168.100.103",54362,"8.8.8.8",53
"1538479077.305402","192.168.100.103",43898,"192.168.100.1",53
"1538479087.316704","192.168.100.103",41181,"8.8.8.8",53
"1538479092.322108","192.168.100.103",38363,"8.8.8.8",53
"1538479097.327261","192.168.100.103",53228,"8.8.8.8",53
"1538479103.951732","192.168.100.103",38086,"66.85.157.90",443
"1538479102.332907","192.168.100.103",34287,"8.8.8.8",53
"1538479111.185870","192.168.100.103",38086,"66.85.157.90",443
"1538479109.596276","192.168.100.103",52574,"192.168.100.1",53
"1538479099.585719","192.168.100.103",49646,"192.168.100.1",53
"1538479109.676974","192.168.100.103",54284,"192.168.100.1",53
"1538479119.665537","192.168.100.103",38086,"66.85.157.90",443
"1538479119.695022","192.168.100.103",33296,"192.168.100.1",53
"1538479109.684470","192.168.100.103",48280,"192.168.100.1",53
"1538479119.699018","192.168.100.103",45819,"192.168.100.1",53
"1538479043.735762","192.168.100.103",123,"31.31.74.35",123
"1538479098.584789","192.168.100.103",123,"83.167.252.118",123
"1538479148.990346","192.168.100.103",38619,"8.8.8.8",53
"1538479153.995745","192.168.100.103",33008,"8.8.8.8",53
"1538479143.984444","192.168.100.103",43932,"192.168.100.1",53
"1538479159.001147","192.168.100.103",54322,"8.8.8.8",53
"1538479164.006546","192.168.100.103",42439,"8.8.8.8",53
"1538479169.011705","192.168.100.103",52529,"8.8.8.8",53
"1538479170.589050","192.168.100.103",41107,"192.168.100.1",53
"1538479160.582996","192.168.100.103",59744,"192.168.100.1",53
